Date : 2026-02-01 08:36:41
Directory : c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard
Total : 116 files,  17151 codes, 508 comments, 1758 blanks, all 19417 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\HomePageComponents\RightBar\CurrencyRates.jsx     | JavaScript JSX |          0 |        210 |         26 |        236 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\HomePageComponents\RightBar\MonthlySpending.jsx   | JavaScript JSX |        226 |          0 |         16 |        242 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\HomePageComponents\RightBar\RightSidebar.css      | PostCSS        |         86 |         13 |         14 |        113 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\HomePageComponents\RightBar\dreamGoals.jsx        | JavaScript JSX |        178 |          0 |         11 |        189 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\HomePageComponents\UpcomingPayments.jsx           | JavaScript JSX |        254 |          6 |         27 |        287 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\HomePageComponents\analytics.jsx                  | JavaScript JSX |        125 |          0 |         21 |        146 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\HomePageComponents\quickActionsBar.jsx            | JavaScript JSX |         12 |          2 |          3 |         17 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\HomePageComponents\quickInfo.jsx                  | JavaScript JSX |        107 |          8 |         25 |        140 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Icons\BugIcon.jsx                                 | JavaScript JSX |         26 |          1 |          3 |         30 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Icons\CloseSideBarIcon.jsx                        | JavaScript JSX |          1 |          0 |          0 |          1 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Icons\CustomersIcon.jsx                           | JavaScript JSX |          1 |          0 |          0 |          1 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Icons\ExpenseIcon.jsx                             | JavaScript JSX |          1 |          0 |          0 |          1 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Icons\Header_Icons\AccountIcon.jsx                | JavaScript JSX |          1 |          0 |          0 |          1 |
