"filename", "language", "HTML", "Markdown", "JSON", "JavaScript", "PostCSS", "JavaScript JSX", "XML", "comment", "blank", "total"
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\HomePageComponents\analytics.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 125, 0, 0, 21, 146
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\HomePageComponents\quickActionsBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 12, 0, 2, 3, 17
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\HomePageComponents\quickInfo.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 107, 0, 8, 25, 140
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Icons\BugIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 26, 0, 1, 3, 30
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Icons\CloseSideBarIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Icons\CustomersIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Icons\ExpenseIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Icons\Header_Icons\AccountIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Icons\Header_Icons\EmailIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 3, 23
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Icons\Header_Icons\NotificationIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Icons\Header_Icons\ThemeIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 34, 0, 2, 3, 39
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Icons\HomeIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 5, 0, 0, 0, 5
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Icons\IncomeIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Icons\Profit_Icons\DollarIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Icons\Profit_Icons\YearlyIncomeIcone.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Icons\Profit_Icons\bankIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Icons\Profit_Icons\walletIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Icons\ReportIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Icons\SettingsIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\IncomePageComponents\IncomeTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 356, 0, 0, 40, 396
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Notification.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 156, 0, 5, 17, 178
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\NotificationMenu.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 86, 0, 0, 10, 96
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Onboarding.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 105, 0, 0, 16, 121
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Onboarding2.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 179, 0, 0, 19, 198
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\ReportsPageComponents\ReportPDF.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 46, 0, 5, 13, 64
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\ReportsPageComponents\ReportsCharts.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 142, 0, 4, 16, 162
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\AdminNotificationsStyle.css", "PostCSS", 0, 0, 0, 0, 191, 0, 0, 0, 32, 223
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\AdminUsersStyle.css", "PostCSS", 0, 0, 0, 0, 297, 0, 0, 7, 54, 358
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\AnotherPageStyle\LegalPages.css", "PostCSS", 0, 0, 0, 0, 58, 0, 0, 0, 10, 68
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\AnotherPageStyle\LoginPageStyle.css", "PostCSS", 0, 0, 0, 0, 229, 0, 0, 2, 31, 262
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\BillsListStyle.css", "PostCSS", 0, 0, 0, 0, 113, 0, 0, 3, 17, 133
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\DebtsPageStyles\AddDebtModalStyle.css", "PostCSS", 0, 0, 0, 0, 87, 0, 0, 0, 11, 98
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\DebtsPageStyles\ConfirmationModalStyle.css", "PostCSS", 0, 0, 0, 0, 93, 0, 0, 0, 13, 106
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\DebtsPageStyles\DebtCardStyle.css", "PostCSS", 0, 0, 0, 0, 163, 0, 0, 2, 27, 192
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\DebtsPageStyles\DebtHistoryModalStyle.css", "PostCSS", 0, 0, 0, 0, 264, 0, 0, 9, 40, 313
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\DebtsPageStyles\DebtsPageStyle.css", "PostCSS", 0, 0, 0, 0, 226, 0, 0, 2, 38, 266
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\DebtsPageStyles\DebtsTableStyle.css", "PostCSS", 0, 0, 0, 0, 226, 0, 0, 12, 37, 275
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\ExpensePageStyles\ExpensePageStyle.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\HomePageStyles\HomePageStyle.css", "PostCSS", 0, 0, 0, 0, 146, 0, 0, 0, 24, 170
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\HomePageStyles\MyCardsStyle.css", "PostCSS", 0, 0, 0, 0, 153, 0, 0, 0, 26, 179
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\HomePageStyles\RecentTransactionsStyle.css", "PostCSS", 0, 0, 0, 0, 158, 0, 0, 0, 26, 184
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\HomePageStyles\UpcomingPaymentsStyle.css", "PostCSS", 0, 0, 0, 0, 403, 0, 0, 0, 63, 466
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\HomePageStyles\analyticsStyle.css", "PostCSS", 0, 0, 0, 0, 42, 0, 0, 0, 6, 48
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\HomePageStyles\quickInfoStyle.css", "PostCSS", 0, 0, 0, 0, 76, 0, 0, 0, 11, 87
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\IncomePageStyles\IncomePageStyle.css", "PostCSS", 0, 0, 0, 0, 24, 0, 0, 2, 4, 30
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\LandingPageStyle.css", "PostCSS", 0, 0, 0, 0, 460, 0, 0, 15, 81, 556
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\NotificationMenuStyle.css", "PostCSS", 0, 0, 0, 0, 175, 0, 0, 10, 28, 213
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\ReportProblemPage.css", "PostCSS", 0, 0, 0, 0, 41, 0, 0, 0, 7, 48
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\ReportsPageStyles\ReportPageStyle.css", "PostCSS", 0, 0, 0, 0, 142, 0, 0, 4, 23, 169
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\SettingsPageStyles\SettingsPageStyle.css", "PostCSS", 0, 0, 0, 0, 289, 0, 0, 7, 52, 348
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\SharedManagementPage.css", "PostCSS", 0, 0, 0, 0, 137, 0, 0, 3, 20, 160
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\TableStyle.css", "PostCSS", 0, 0, 0, 0, 228, 0, 0, 11, 36, 275
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\headerStyle.css", "PostCSS", 0, 0, 0, 0, 226, 0, 0, 4, 42, 272
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\sideBarStyle.css", "PostCSS", 0, 0, 0, 0, 113, 0, 0, 9, 21, 143
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\tipBox.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\TipBox.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 5, 15
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\header.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 136, 0, 5, 25, 166
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\sideBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 91, 0, 1, 8, 100
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\contexts\FinancialContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 113, 0, 7, 19, 139
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\firebase.js", "JavaScript", 0, 0, 0, 16, 0, 0, 0, 3, 4, 23
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\hooks\useFinancialData.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 3, 13
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\hooks\useNotification.js", "JavaScript", 0, 0, 0, 19, 0, 0, 0, 0, 5, 24
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\i18n.js", "JavaScript", 0, 0, 0, 24, 0, 0, 0, 0, 4, 28
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\index.css", "PostCSS", 0, 0, 0, 0, 182, 0, 0, 6, 38, 226
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\locales\ar.json", "JSON", 0, 0, 407, 0, 0, 0, 0, 0, 0, 407
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\locales\en.json", "JSON", 0, 0, 410, 0, 0, 0, 0, 0, 0, 410
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 2, 12
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\security\rateLimiter.js", "JavaScript", 0, 0, 0, 53, 0, 0, 0, 3, 10, 66
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\vercel.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\vite.config.js", "JavaScript", 0, 0, 0, 18, 0, 0, 0, 1, 1, 20
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\vitest.config.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"Total", "-", 69, 155, 5314, 175, 5141, 6261, 36, 508, 1758, 19417
