"filename", "language", "HTML", "Markdown", "JSON", "JavaScript", "JavaScript JSX", "PostCSS", "XML", "comment", "blank", "total"
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\HomePageStyle.css", "PostCSS", 0, 0, 0, 0, 0, -66, 0, -1, -12, -79
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\HomePageStyles\HomePageStyle.css", "PostCSS", 0, 0, 0, 0, 0, 146, 0, 0, 24, 170
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\HomePageStyles\MyCardsStyle.css", "PostCSS", 0, 0, 0, 0, 0, 153, 0, 0, 26, 179
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\HomePageStyles\RecentTransactionsStyle.css", "PostCSS", 0, 0, 0, 0, 0, 158, 0, 0, 26, 184
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\HomePageStyles\UpcomingPaymentsStyle.css", "PostCSS", 0, 0, 0, 0, 0, 403, 0, 0, 63, 466
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\HomePageStyles\analyticsStyle.css", "PostCSS", 0, 0, 0, 0, 0, 42, 0, 0, 6, 48
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\HomePageStyles\quickInfoStyle.css", "PostCSS", 0, 0, 0, 0, 0, 76, 0, 0, 11, 87
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\IncomePageStyles\IncomePageStyle.css", "PostCSS", 0, 0, 0, 0, 0, 24, 0, 2, 4, 30
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\LandingPageStyle.css", "PostCSS", 0, 0, 0, 0, 0, 460, 0, 15, 81, 556
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\MyCardsStyle.css", "PostCSS", 0, 0, 0, 0, 0, -110, 0, -1, -17, -128
