"filename", "language", "JSON", "JavaScript", "Markdown", "XML", "JavaScript JSX", "PostCSS", "HTML", "comment", "blank", "total"
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\addIncomeForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 46, 0, 0, 2, 12, 60
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\header.jsx", "JavaScript JSX", 0, 0, 0, 0, 175, 0, 0, 4, 21, 200
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\sideBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 81, 0, 0, 1, 8, 90
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\firebase.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 3, 4, 23
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\hooks\useNotification.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 5, 24
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\i18n.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 4, 28
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 184, 0, 8, 33, 225
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\locales\ar.json", "JSON", 222, 0, 0, 0, 0, 0, 0, 0, 0, 222
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\locales\en.json", "JSON", 239, 0, 0, 0, 0, 0, 0, 0, 0, 239
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\vite.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 4850, 92, 35, 11, 4781, 2402, 13, 402, 983, 13569
